Style,Name,Trajectory Type,Kalz Centrality,Global Clustering,Square Clustering,Harmonic Centrality,Betweenness Centrality,Closeness Centrality,Tonnetz,Instruments,Number Of Instr,Tempo,Time Signature
ashover,ashover_simple_chords_24,Trajectory With Future,0.18001940794416096,0.29374999999999996,0.27292262794296573,11.182539682539675,0.12024236217784605,0.10742231164766375,"[3, 4, 5]",[],0,227,"[<music21.meter.TimeSignature 2/4>, <music21.meter.TimeSignature 2/4>]"
ashover,ashover_simple_chords_25,Trajectory With Future,0.30591896903005333,0.15138888888888888,0.32036531514506345,7.583333333333333,0.09815546772068512,0.2630434782608696,"[3, 4, 5]",[],0,222,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
ashover,ashover_simple_chords_26,Trajectory With Future,0.32316212546293693,0.19393939393939394,0.3741280033030986,7.333333333333333,0.09126984126984128,0.2976190476190476,"[3, 4, 5]",[],0,213,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
ashover,ashover_simple_chords_27,Trajectory With Future,0.18535465299633597,0.2777777777777778,0.3032384196657652,9.49007936507936,0.11973875181422351,0.11091058244462675,"[3, 4, 5]",[],0,240,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
ashover,ashover_simple_chords_3,Trajectory With Future,0.16072434118896453,0.23255813953488377,0.28684768453602133,12.583802308802298,0.12857142857142856,0.08611178911398584,"[3, 4, 5]",[],0,206,"[<music21.meter.TimeSignature 2/4>, <music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 2/4>]"
ashover,ashover_simple_chords_30,Trajectory With Future,0.21580680893270612,0.26739130434782604,0.26838141478079175,10.076190476190472,0.10606060606060606,0.14938271604938272,"[3, 4, 5]",[],0,228,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
ashover,ashover_simple_chords_31,Trajectory With Future,0.3611694591590589,0.24,0.5462814656137317,7.5,0.09356725146198829,0.35526315789473684,"[3, 4, 5]",[],0,237,"[<music21.meter.TimeSignature 2/4>, <music21.meter.TimeSignature 2/4>]"
ashover,ashover_simple_chords_32,Trajectory With Future,0.19993454399855506,0.2613636363636363,0.2616042996730387,9.099999999999996,0.11517165005537099,0.14651162790697672,"[3, 4, 5]",[],0,205,"[<music21.meter.TimeSignature 2/4>, <music21.meter.TimeSignature 2/4>]"
ashover,ashover_simple_chords_33,Trajectory With Future,0.3412269430679961,0.26041666666666663,0.35779742917900814,5.5,0.06825396825396826,0.32666666666666666,"[3, 4, 5]",[],0,212,"[<music21.meter.TimeSignature 2/4>, <music21.meter.TimeSignature 2/4>]"
ashover,ashover_simple_chords_36,Trajectory With Future,0.29914852449989743,0.10606060606060606,0.30929035314062053,6.666666666666666,0.10952380952380954,0.26455026455026454,"[2, 3, 7]",[],0,229,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
ashover,ashover_simple_chords_37,Trajectory With Future,0.1913210560344687,0.26111111111111107,0.3546672017514692,14.855952380952377,0.08937115516062885,0.1275731071649439,"[2, 3, 7]",[],0,96,"[<music21.meter.TimeSignature 3/4>, <music21.meter.TimeSignature 3/4>]"
ashover,ashover_simple_chords_38,Trajectory With Future,0.20680605977428218,0.2773333333333333,0.283339609750482,9.816269841269836,0.12159863945578231,0.13511611541168192,"[3, 4, 5]",[],0,227,"[<music21.meter.TimeSignature 2/4>, <music21.meter.TimeSignature 2/4>]"
ashover,ashover_simple_chords_39,Trajectory With Future,0.1927742235751573,0.29345238095238096,0.3100066871379395,10.798412698412694,0.11851851851851852,0.12623376623376623,"[3, 4, 5]",[],0,92,"[<music21.meter.TimeSignature 3/4>, <music21.meter.TimeSignature 3/4>]"
ashover,ashover_simple_chords_42,Trajectory With Future,0.1844583989272872,0.22541666666666665,0.3468329339081844,15.954761904761902,0.1014787365407899,0.14053404786103668,"[3, 4, 5]",[],0,127,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
ashover,ashover_simple_chords_43,Trajectory With Future,0.11449936490059807,0.26961805555555557,0.2906694673306886,18.369066563973018,0.10403376838272768,0.04856249630064086,"[2, 3, 7]",[],0,67,"[<music21.meter.TimeSignature 3/4>, <music21.meter.TimeSignature 3/4>]"
ashover,ashover_simple_chords_44,Trajectory With Future,0.3174165885433876,0.35757575757575755,0.42790763470192705,7.333333333333333,0.11666666666666668,0.2976190476190476,"[3, 4, 5]",[],0,120,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
ashover,ashover_simple_chords_45,Trajectory With Future,0.13987190794840895,0.23611111111111108,0.297592197300238,12.169827394827385,0.12362821948488242,0.07500848896434635,"[3, 4, 5]",[],0,228,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
ashover,ashover_simple_chords_6,Trajectory With Future,0.16815073625114962,0.28763440860215045,0.2697501222736987,10.310317460317451,0.12240437158469945,0.10614459252270314,"[3, 4, 5]",[],0,116,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
ashover,ashover_simple_chords_7,Trajectory With Future,0.2207976541424173,0.22619047619047622,0.41459736510953177,13.133333333333333,0.08957266751206146,0.17911547911547912,"[3, 4, 5]",[],0,224,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
ashover,ashover_simple_chords_8,Trajectory With Future,0.279665899931488,0.3175925925925926,0.44565879693185945,10.66666666666667,0.10224089635854341,0.2502164502164502,"[2, 3, 7]",[],0,168,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
ashover,ashover_simple_chords_9,Trajectory With Future,0.2360890105543047,0.18024691358024694,0.33102339085838156,12.650000000000002,0.1055878084179971,0.1848509707410446,"[3, 4, 5]",[],0,91,"[<music21.meter.TimeSignature 3/4>, <music21.meter.TimeSignature 3/4>]"
hpps,hpps_simple_chords_1,Trajectory With Future,0.3614535147293093,0.25,0.5299736206611676,7.5,0.0867446393762183,0.35526315789473684,"[2, 3, 7]",[],0,120,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_12,Trajectory With Future,0.18949511924811152,0.2116666666666667,0.33741169103054236,11.702380952380945,0.12219949347360218,0.13447393668052446,"[3, 4, 5]",[],0,176,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_13,Trajectory With Future,0.21766018490514896,0.2674242424242424,0.26751943279999213,10.066666666666663,0.0919482486541731,0.16541635408852212,"[3, 4, 5]",[],0,174,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_14,Trajectory With Future,0.28671759237581973,0.28717948717948716,0.3621361464049077,7.916666666666666,0.1102777777777778,0.2504347826086956,"[3, 4, 5]",[],0,173,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_15,Trajectory With Future,0.20269184069867346,0.28888888888888886,0.34383308391850315,11.133333333333328,0.11744073536526367,0.14660594231186294,"[3, 4, 5]",[],0,168,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_18,Trajectory With Future,0.19354321831201235,0.25,0.27880667092138367,9.419047619047612,0.12025901942645699,0.13560625480645988,"[3, 4, 5]",[],0,171,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_19,Trajectory With Future,0.2109036484208192,0.2708333333333333,0.28878135099834157,8.766666666666664,0.11336032388663968,0.15959328028293546,"[3, 4, 5]",[],0,175,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_2,Trajectory With Future,0.15874638520358111,0.24962962962962965,0.3502703390902673,13.509920634920624,0.12359550561797754,0.09540705696826335,"[3, 4, 5]",[],0,163,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_20,Trajectory With Future,0.2353171299212254,0.2558333333333333,0.30946791819381564,10.283333333333335,0.09454582557075632,0.20122630992196208,"[3, 4, 5]",[],0,179,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_21,Trajectory With Future,0.30571737786049386,0.2833333333333333,0.3690472423010993,6.333333333333333,0.11695906432748537,0.28421052631578947,"[3, 4, 5]",[],0,176,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_24,Trajectory With Future,0.21901475705348972,0.23684210526315785,0.2745920512088291,8.599999999999996,0.12012012012012012,0.16522182559918408,"[3, 4, 5]",[],0,138,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_25,Trajectory With Future,0.19656490095863477,0.23550724637681156,0.2529768555231551,9.242857142857138,0.11313131313131314,0.13968253968253966,"[3, 4, 5]",[],0,169,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_26,Trajectory With Future,0.37176412471669373,0.14285714285714285,0.44523809523809527,5.0,0.07692307692307693,0.34615384615384615,"[2, 3, 7]",[],0,167,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_27,Trajectory With Future,0.3693656193853981,0.2261904761904762,0.4776190476190476,5.0,0.07692307692307693,0.34615384615384615,"[3, 4, 5]",[],0,179,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_3,Trajectory With Future,0.10110877154328182,0.2722772277227723,0.30514436453328625,15.989784629840331,0.12417910447761193,0.03853698201479049,"[3, 4, 5]",[],0,168,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_30,Trajectory With Future,0.1478883938309558,0.24593495934959347,0.2611296417444268,11.311580086580078,0.12222222222222222,0.08299616142753398,"[3, 4, 5]",[],0,157,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_31,Trajectory With Future,0.26170221371359564,0.23854166666666665,0.39040331356686625,8.916666666666666,0.11612903225806452,0.22681451612903225,"[3, 4, 5]",[],0,154,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_32,Trajectory With Future,0.23137934073691233,0.30882352941176466,0.29483976979866644,8.23333333333333,0.11931818181818182,0.1847041847041847,"[3, 4, 5]",[],0,180,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_33,Trajectory With Future,0.17640860628495242,0.2619047619047619,0.25123708792257665,9.964682539682531,0.12121212121212122,0.1172968624296058,"[3, 4, 5]",[],0,172,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_36,Trajectory With Future,0.13736894550348583,0.25,0.24665591552552416,11.792879342879335,0.12272089761570829,0.07200217775962978,"[3, 4, 5]",[],0,170,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_37,Trajectory With Future,0.3434633723783697,0.2708333333333333,0.3424260772122614,5.333333333333333,0.1142857142857143,0.296969696969697,"[1, 2, 9]",[],0,205,[<music21.meter.TimeSignature 4/4>]
hpps,hpps_simple_chords_38,Trajectory With Future,0.2928105201383899,0.2727272727272727,0.33705620991405855,6.666666666666666,0.1,0.26455026455026454,"[3, 4, 5]",[],0,175,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_39,Trajectory With Future,0.2132631453450309,0.25277777777777777,0.31043624177052176,9.930158730158727,0.11655874190564293,0.14069148936170212,"[3, 4, 5]",[],0,176,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_42,Trajectory With Future,0.13711482199216465,0.25724637681159424,0.24675584115227647,11.709546009546001,0.1221001221001221,0.07344141007507345,"[3, 4, 5]",[],0,170,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_43,Trajectory With Future,0.3211427376269344,0.24393939393939396,0.3960306325373202,7.333333333333333,0.08698412698412698,0.2976190476190476,"[3, 4, 5]",[],0,165,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_44,Trajectory With Future,0.1540460721711591,0.2747747747747748,0.26071418254465384,10.965873015873004,0.1232876712328767,0.09057869723231758,"[3, 4, 5]",[],0,171,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_45,Trajectory With Future,0.16283389342155288,0.2941176470588236,0.2756409523344769,10.348845598845594,0.12302125734961555,0.09505106048703849,"[3, 4, 5]",[],0,172,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_48,Trajectory With Future,0.14799563948853386,0.29078014184397166,0.28231412456409855,13.035664335664327,0.12180536076047999,0.07955485374840213,"[3, 4, 5]",[],0,174,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_49,Trajectory With Future,0.21943178568503213,0.3245614035087719,0.3297069397473548,8.549999999999997,0.12162162162162161,0.16522182559918408,"[3, 4, 5]",[],0,172,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_50,Trajectory With Future,0.24613295101912505,0.22318840579710142,0.48250706391025927,10.066666666666665,0.08535353535353535,0.15729847494553378,"[2, 3, 7]",[],0,156,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_51,Trajectory With Future,0.2109036484208192,0.2708333333333333,0.28878135099834157,8.766666666666664,0.11336032388663968,0.15959328028293546,"[3, 4, 5]",[],0,161,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_54,Trajectory With Future,0.3006402977393744,0.18666666666666665,0.44218168507435635,9.250000000000002,0.09232348111658457,0.2703448275862069,"[3, 4, 5]",[],0,162,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_55,Trajectory With Future,0.15823712281288896,0.23008130081300815,0.26440344745449423,12.393722943722937,0.12314814814814815,0.09102804801729533,"[3, 4, 5]",[],0,172,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_56,Trajectory With Future,0.2930041954684897,0.1717948717948718,0.33513204953936354,7.833333333333332,0.07361111111111111,0.2504347826086956,"[3, 4, 5]",[],0,174,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_57,Trajectory With Future,0.34286190940906425,0.28125,0.4024866998081284,5.5,0.06507936507936508,0.32666666666666666,"[3, 4, 5]",[],0,168,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_6,Trajectory With Future,0.20539092228352251,0.20833333333333331,0.3014914750623944,8.976190476190473,0.12846068660022147,0.14244186046511628,"[3, 4, 5]",[],0,171,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_60,Trajectory With Future,0.27232003524225545,0.2822222222222222,0.3167612776326169,8.5,0.08971914784722668,0.2252873563218391,"[3, 4, 5]",[],0,168,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_61,Trajectory With Future,0.2559353832341088,0.23421052631578948,0.35620208394835357,10.233333333333333,0.10177677677677677,0.20364550597108738,"[3, 4, 5]",[],0,175,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_62,Trajectory With Future,0.28995354423561676,0.19743589743589743,0.32424426418991636,7.533333333333333,0.09000000000000001,0.2304,"[3, 4, 5]",[],0,156,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_63,Trajectory With Future,0.2178659438917359,0.25984848484848483,0.2508465920840892,10.016666666666662,0.09244501105619554,0.1627906976744186,"[3, 4, 5]",[],0,170,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_7,Trajectory With Future,0.19636756888875556,0.18333333333333332,0.2988696054083994,9.677380952380947,0.12159863945578231,0.13511611541168192,"[3, 4, 5]",[],0,180,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_8,Trajectory With Future,0.22471419388677497,0.24841269841269842,0.2839108118203627,9.816666666666663,0.08971258619429348,0.17115960633290542,"[3, 4, 5]",[],0,163,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
hpps,hpps_simple_chords_9,Trajectory With Future,0.3059472544159133,0.32916666666666666,0.3338658278022025,7.333333333333333,0.09815546772068512,0.2505175983436853,"[3, 4, 5]",[],0,172,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
jigs,jigs_simple_chords_1,Trajectory With Future,0.16296868647864696,0.2552845528455284,0.2835152620704987,11.696670404758635,0.12345679012345678,0.08405568689256632,"[3, 4, 5]",[],0,215,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
jigs,jigs_simple_chords_102,Trajectory With Future,0.20515321394858324,0.2954545454545454,0.3269208593726148,9.049999999999995,0.12181616832779622,0.1444480838519489,"[3, 4, 5]",[],0,213,"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 4/4>]"
jigs,jigs_simple_chords_103,Trajectory With Future,0.15797752048881597,0.2714285714285714,0.25822536295819565,10.714682539682531,0.11935208866155157,0.09465323835257514,"[3, 4, 5]",[],0,200,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
jigs,jigs_simple_chords_104,Trajectory With Future,0.20672288570499267,0.25,0.29541120912017094,8.93333333333333,0.11097560975609756,0.1524390243902439,"[3, 4, 5]",[],0,217,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
jigs,jigs_simple_chords_105,Trajectory With Future,0.19887004665089464,0.2826086956521739,0.29917775500927474,9.216666666666661,0.11818181818181818,0.13968253968253966,"[3, 4, 5]",[],0,224,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 6/8>]"
jigs,jigs_simple_chords_108,Trajectory With Future,0.21866735497194778,0.30320512820512824,0.38652600405331694,11.316666666666665,0.1180392156862745,0.16124871001031993,"[2, 3, 7]",[],0,208,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
jigs,jigs_simple_chords_109,Trajectory With Future,0.1494335063170775,0.2708333333333333,0.28632789978899814,11.129834054834047,0.12333657903278156,0.08298777826276736,"[3, 4, 5]",[],0,212,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
jigs,jigs_simple_chords_110,Trajectory With Future,0.30234845193783216,0.2513888888888889,0.38362493987493984,7.666666666666666,0.13768115942028983,0.2768878718535469,"[3, 4, 5]",[],0,215,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
jigs,jigs_simple_chords_111,Trajectory With Future,0.18950085785818752,0.26999999999999996,0.2762338759144285,9.552380952380947,0.11904761904761904,0.13061224489795917,"[3, 4, 5]","['Recorder', 'Woodblock', 'Oboe']",3,215,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
jigs,jigs_simple_chords_114,Trajectory With Future,0.33149075024574837,0.29833333333333334,0.4067832534620274,6.833333333333333,0.11013645224171541,0.30451127819548873,"[3, 4, 5]",[],0,216,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
jigs,jigs_simple_chords_115,Trajectory With Future,0.1598986524635032,0.22818181818181815,0.2812744655853116,13.13307268496896,0.12623173632347945,0.06654799397507874,"[3, 4, 5]",[],0,196,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
jigs,jigs_simple_chords_116,Trajectory With Future,0.3233584614352699,0.35185185185185186,0.37844732428065764,6.0,0.11642156862745097,0.3137254901960784,"[3, 4, 5]",[],0,210,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
jigs,jigs_simple_chords_117,Trajectory With Future,0.12399712744894921,0.2869230769230769,0.3048805205402558,12.619729698406159,0.10513565891472867,0.05239707985248739,"[3, 4, 5]",[],0,227,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
jigs,jigs_simple_chords_12,Trajectory With Future,0.24870851331932015,0.26041666666666663,0.36979393855067344,7.949999999999999,0.11792114695340503,0.19100169779286927,"[3, 4, 5]",[],0,152,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
jigs,jigs_simple_chords_120,Trajectory With Future,0.2612271851965337,0.23137254901960783,0.34492593888294004,9.2,0.07765151515151515,0.20966420966420968,"[3, 4, 5]",[],0,160,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
jigs,jigs_simple_chords_121,Trajectory With Future,0.18003737011831863,0.2623456790123457,0.2538935298322577,9.821825396825389,0.11973875181422351,0.12147349505840073,"[3, 4, 5]",[],0,228,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
jigs,jigs_simple_chords_122,Trajectory With Future,0.36786793118515765,0.3055555555555556,0.637415176871364,7.0,0.09926470588235292,0.3764705882352941,"[2, 3, 7]",[],0,222,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
jigs,jigs_simple_chords_123,Trajectory With Future,0.1689870397724397,0.24909909909909905,0.23639188974487632,11.933802308802301,0.1171993911719939,0.09648600357355569,"[3, 4, 5]",[],0,208,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
jigs,jigs_simple_chords_126,Trajectory With Future,0.24553067027176173,0.22727272727272727,0.28429440443871584,10.866666666666667,0.08086273268997522,0.18313953488372092,"[2, 3, 7]",[],0,208,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
jigs,jigs_simple_chords_127,Trajectory With Future,0.2364807864996856,0.24097222222222223,0.39550037405456084,12.316666666666668,0.12627197039777985,0.19746173945502052,"[3, 4, 5]",[],0,202,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
jigs,jigs_simple_chords_128,Trajectory With Future,0.22131474052518774,0.2463768115942029,0.31507762929599475,10.766666666666666,0.12230639730639732,0.16805555555555554,"[3, 4, 5]",[],0,203,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
jigs,jigs_simple_chords_129,Trajectory With Future,0.22751949748555808,0.25961538461538464,0.413937289500529,12.650000000000002,0.09765950463191006,0.18568033273915627,"[3, 4, 5]",[],0,181,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
jigs,jigs_simple_chords_13,Trajectory With Future,0.22191799307396745,0.24561403508771926,0.31101786498286904,8.299999999999999,0.11561561561561562,0.15921375921375922,"[3, 4, 5]",[],0,218,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
jigs,jigs_simple_chords_132,Trajectory With Future,0.16443374033348335,0.30808080808080807,0.30646469772816987,10.44246031746031,0.12115384615384617,0.0997078870496592,"[3, 4, 5]",[],0,180,"[<music21.meter.TimeSignature 6/8>, <music21.meter.TimeSignature 6/8>]"
